,date,CPI,interest,oil_price,gold_price,exchange_rate(w/d),KOSPI200(open),sent
28,2020-02-13,100.12,1.35,1091,59290,"1,179.80",302.79,-0.010444857638828386
29,2020-02-14,100.12,1.35,1091,59800,"1,181.50",300.95,0.20300994748795037
30,2020-02-17,100.13,1.34,1092,59840,"1,183.50",302.84,-0.1926735279405325
31,2020-02-18,100.13,1.33,1092,60020,"1,182.20",300.26,0.13458183790152317
32,2020-02-19,100.14,1.32,1093,60700,"1,188.10",299.68,-0.09900694054270655
33,2020-02-20,100.14,1.32,1090,61020,"1,190.80",300.34,-0.05161950082312097
34,2020-02-21,100.14,1.32,1090,62240,"1,197.00",292.16,0.07564639252217437
35,2020-02-24,100.15,1.31,1094,64700,"1,205.60",285.51,0.046770172370049636
36,2020-02-25,100.15,1.28,1099,65010,"1,217.70",280.48,-0.07311417985835744
37,2020-02-26,100.15,1.27,1101,63570,"1,212.70",278.45,0.0871338743790559
38,2020-02-27,100.16,1.26,1100,63700,"1,216.80",279.46,0.053309082258602716
39,2020-02-28,100.16,1.26,1100,64000,"1,215.90",272.33,0.343319485243452
40,2020-03-02,100.15,1.25,1099,60990,"1,215.30",269.59,0.22199472329598527
41,2020-03-03,100.14,1.25,1065,61400,"1,200.30",277.44,0.13422172481670333
42,2020-03-04,100.13,1.25,1073,63010,"1,191.40",270.13,0.11791415759694235
43,2020-03-05,100.12,1.22,1074,62570,"1,186.40",280.66,0.013946253078055384
44,2020-03-06,100.12,1.22,1072,63520,"1,185.00",276.74,0.0017117669324894784
45,2020-03-09,100.1,1.22,1072,65010,"1,191.40",266.39,0.039090895816571894
46,2020-03-10,100.09,1.21,1039,65150,"1,201.40",261.94,0.07112833883528237
47,2020-03-11,100.08,1.2,1029,63260,"1,196.70",264.63,-0.0785842919642348
48,2020-03-12,100.07,1.2,1029,63790,"1,192.80",253.93,-0.07434660150170729
49,2020-03-13,100.07,1.21,1030,61350,"1,202.00",231.71,-0.2463054391077061
50,2020-03-16,100.05,1.21,1030,62080,"1,222.20",245.21,0.09242171379553966
51,2020-03-17,100.04,1.14,934,59900,"1,219.60",222.94,0.024269446210534965
52,2020-03-18,100.03,1.05,943,61000,"1,241.20",228.63,-0.15928084749029692
53,2020-03-19,100.03,1.05,943,60420,"1,237.80",220.72,-0.13500047451328706
54,2020-03-20,100.02,1.05,935,59420,"1,280.10",204.84,-0.1428300929530944
55,2020-03-23,100.0,1.06,938,60100,"1,254.10",200.8,0.20549706069816093
56,2020-03-24,99.99,1.08,878,63990,"1,274.60",207.65,0.3330002674631853
57,2020-03-25,99.98,1.1,893,65300,"1,256.00",228.37,0.3545879145589334
58,2020-03-26,99.98,1.13,890,64330,"1,230.70",231.91,0.030855876981804965
59,2020-03-27,99.97,1.16,891,63930,"1,227.90",239.11,-0.1288690176402542
60,2020-03-30,99.95,1.17,888,64100,"1,212.40",227.05,0.014877518154466012
61,2020-03-31,99.94,1.18,868,64190,"1,222.60",235.2,0.27687224988566145
62,2020-04-01,99.93,1.18,866,62880,"1,220.00",234.23,-0.005106751239954083
63,2020-04-02,99.91,1.17,854,63500,"1,222.20",227.47,-0.1196345648746443
64,2020-04-03,99.9,1.15,865,63500,"1,237.60",232.48,-0.12710995254430169
65,2020-04-06,99.85,1.13,866,63910,"1,229.80",234.4,0.29757264525432114
66,2020-04-07,99.84,1.1,863,65000,"1,233.40",245.65,0.19835510267706957
67,2020-04-08,99.82,1.09,832,64500,"1,222.40",243.71,0.026273824414070415
68,2020-04-09,99.81,1.08,833,64010,"1,219.70",246.13,-0.05996872324951834
69,2020-04-10,99.79,1.06,831,65800,"1,216.40",245.14,0.12359887244759665
70,2020-04-13,99.75,1.05,836,65990,"1,212.30",246.59,0.4039414499407521
71,2020-04-14,99.73,1.05,826,66920,"1,218.70",246.2,0.14239755876211008
72,2020-04-16,99.71,1.04,827,67740,"1,216.70",244.99,0.1254576305914344
73,2020-04-17,99.69,1.04,821,68210,"1,227.50",252.52,0.22981252234468258
74,2020-04-20,99.65,1.03,825,65560,"1,219.30",253.85,0.0570205571186624
75,2020-04-21,99.63,1.03,801,66500,"1,218.70",250.26,-0.0009771686043209696
76,2020-04-22,99.62,1.02,801,67180,"1,231.30",246.16,-0.03165085703430776
77,2020-04-23,99.6,1.02,805,67960,"1,235.20",253.42,0.07797651508052697
78,2020-04-24,99.59,1.02,802,68700,"1,232.00",252.47,-0.04062430963359855
79,2020-04-27,99.54,1.01,803,68860,"1,235.80",251.18,0.2097038841795305
80,2020-04-28,99.53,1.01,780,68150,"1,230.30",255.91,0.017286652178375828
81,2020-04-29,99.51,1.01,677,67150,"1,225.20",256.58,0.322764509115397
82,2020-05-04,99.49,1.01,300,67380,"1,218.50",252.44,0.09347626130170174
83,2020-05-06,99.49,1.01,824,67450,"1,227.80",253.76,0.016464513281620376
84,2020-05-07,99.49,1.01,779,67140,"1,223.30",253.88,0.026487974048701818
85,2020-05-08,99.48,1.0,766,67500,"1,226.50",256.66,0.2563856393553188
86,2020-05-11,99.48,0.98,780,67300,"1,217.70",257.67,0.2607597664127336
87,2020-05-12,99.48,0.96,796,67200,"1,217.80",255.33,0.04728707566160275
88,2020-05-13,99.47,0.94,810,67730,"1,226.70",250.03,0.1482322462057502
89,2020-05-14,99.47,0.94,809,67900,"1,226.30",253.26,-0.0532518349401912
90,2020-05-15,99.47,0.93,806,68400,"1,227.90",255.34,0.050770209730762184
91,2020-05-18,99.47,0.9,819,69200,"1,229.30",254.55,0.16679664216726267
92,2020-05-19,99.46,0.89,826,68950,"1,231.60",261.12,0.2292630978482488
93,2020-05-20,99.46,0.88,835,68870,"1,224.50",260.48,0.0589954226978697
94,2020-05-21,99.46,0.87,828,69350,"1,227.80",264.52,0.0841603888204448
95,2020-05-22,99.46,0.86,828,69000,"1,230.70",263.82,0.21069336640337688
96,2020-05-25,99.45,0.85,829,69210,"1,236.20",260.95,0.16014009360894027
97,2020-05-26,99.45,0.84,873,69420,"1,242.00",263.48,0.1657245839631601
98,2020-05-27,99.45,0.83,873,68560,"1,237.10",266.71,0.11389633517183327
99,2020-05-28,99.45,0.78,871,68310,"1,233.70",270.17,0.11745997081128146
100,2020-05-29,99.44,0.73,863,69260,"1,239.40",266.62,0.012994575045883578
101,2020-06-01,99.45,0.7,868,69450,"1,237.60",269.29,0.24684021472800707
102,2020-06-02,99.46,0.68,868,68990,"1,227.80",272.65,0.2615277166487249
103,2020-06-03,99.47,0.67,886,68710,"1,224.10",279.14,0.23331057805690533
104,2020-06-04,99.48,0.67,879,67090,"1,216.90",291.17,0.13633307629178765
105,2020-06-05,99.48,0.66,875,67590,"1,217.40",286.3,0.24611934728420357
106,2020-06-08,99.51,0.65,886,65450,"1,213.10",295.41,0.0479110424553429
107,2020-06-09,99.52,0.65,897,66000,"1,204.20",293.96,-0.036386965072887724
108,2020-06-10,99.53,0.65,904,66490,"1,197.70",291.03,0.13496185290449914
109,2020-06-11,99.54,0.65,904,66700,"1,194.40",289.98,0.0004735234796175355
110,2020-06-12,99.55,0.65,900,67550,"1,192.80",276.97,0.16130878819892885
111,2020-06-15,99.57,0.65,899,67400,"1,206.60",278.61,0.49444092759036357
112,2020-06-16,99.58,0.66,915,67420,"1,210.80",275.89,0.2560511086669633
113,2020-06-17,99.59,0.66,909,67580,"1,206.60",282.08,0.11518922587772469
114,2020-06-18,99.6,0.67,922,67620,"1,214.50",281.74,0.05326519600888891
115,2020-06-19,99.61,0.67,917,67300,"1,213.00",284.56,0.09199274412524949
116,2020-06-22,99.64,0.67,917,68090,"1,212.00",281.01,0.1771045517483391
117,2020-06-23,99.65,0.68,932,68500,"1,213.20",284.64,0.10705182769745036
118,2020-06-24,99.66,0.68,923,68700,"1,210.10",283.71,0.126123413001667
119,2020-06-25,99.66,0.68,925,68450,"1,202.90",282.38,0.07077193243147024
120,2020-06-26,99.67,0.68,927,68520,"1,205.20",283.36,0.024124970596164294
121,2020-06-29,99.7,0.69,926,68680,"1,198.60",279.36,0.1670910760939641
122,2020-06-30,99.71,0.69,942,68500,"1,200.70",282.55,0.10201801960994285
123,2020-07-01,99.71,0.69,941,68800,"1,198.50",283.1,-0.014840202706932473
124,2020-07-02,99.7,0.68,944,68840,"1,201.60",281.3,0.040256256269227866
125,2020-07-03,99.7,0.67,944,68580,"1,201.00",285.59,0.1889526116662663
126,2020-07-06,99.69,0.67,945,68700,"1,200.40",286.84,0.3933607148948874
127,2020-07-07,99.69,0.67,940,68700,"1,196.80",292.74,0.2213242361377209
128,2020-07-08,99.69,0.66,941,69200,"1,192.90",287.2,0.05439511541616835
129,2020-07-09,99.69,0.66,942,69300,"1,195.80",287.8,0.034571197346862766
130,2020-07-10,99.68,0.66,939,69710,"1,194.50",287.87,0.3126855036575163
131,2020-07-13,99.68,0.65,944,69710,"1,202.40",287.92,0.14598504566387113
132,2020-07-14,99.67,0.65,955,69950,"1,200.30",288.42,0.09193934629454789
133,2020-07-15,99.67,0.65,957,70130,"1,206.40",292.94,0.026977341023827463
134,2020-07-16,99.67,0.65,952,70040,"1,200.70",292.34,0.103756163230364
135,2020-07-17,99.67,0.64,954,70260,"1,204.10",289.9,0.3531058792540732
136,2020-07-20,99.66,0.64,959,70200,"1,205.70",292.76,0.14336694627778923
137,2020-07-21,99.66,0.63,947,70450,"1,203.70",294.03,0.3375194457832146
138,2020-07-22,99.65,0.63,946,71200,"1,198.10",294.71,0.15591087203841753
139,2020-07-23,99.65,0.62,947,72330,"1,193.70",293.62,0.037251244727447175
140,2020-07-24,99.65,0.61,947,73240,"1,198.50",289.84,0.10609270949119376
141,2020-07-27,99.64,0.61,949,74600,"1,201.30",291.03,0.18524312389748782
142,2020-07-28,99.64,0.6,950,80000,"1,196.60",296.53,0.37984090433287826
143,2020-07-29,99.64,0.59,952,81770,"1,195.10",300.57,0.022221392908336097
144,2020-07-30,99.63,0.59,949,79870,"1,195.20",303.13,0.10985396186149618
145,2020-07-31,99.63,0.58,949,78490,"1,191.40",303.69,0.16024342952508136
146,2020-08-03,99.68,0.58,947,79550,"1,189.10",299.57,0.14485718201916625
147,2020-08-04,99.7,0.58,941,79050,"1,193.70",302.5,0.1614315679329038
148,2020-08-05,99.72,0.58,941,80100,"1,193.50",303.94,0.1258498140483428
149,2020-08-06,99.74,0.58,939,79700,"1,190.30",307.88,0.15960606911328318
150,2020-08-07,99.76,0.58,940,79600,"1,184.30",311.99,0.07916186914980716
151,2020-08-10,99.81,0.58,943,78460,"1,185.90",312.75,0.1533530657291806
152,2020-08-11,99.83,0.58,945,78390,"1,186.70",317.63,0.2709741318279157
153,2020-08-12,99.85,0.58,947,73080,"1,184.90",320.31,0.00755142507020953
154,2020-08-13,99.86,0.58,949,73100,"1,186.00",325.84,0.026871434720635547
155,2020-08-14,99.88,0.58,944,75030,"1,183.60",321.59,0.12075202452067249
156,2020-08-18,99.96,0.57,951,76280,"1,185.80",319.57,0.141212665464835
157,2020-08-19,99.97,0.57,947,76850,"1,185.10",315.96,0.2639051858962336
